,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
646682,1,2.0,1151,7.0,,1738.0,8.0,2.0,10.0,12.0,0.0,1.0,,,05db9164,c5c1d6ae,b2de8002,f9a7e394,25c83c98,fbad5c96,eef6b4a6,5b392875,a73ee510,851e1a96,ba34ed14,76517c94,103a86a6,b28479f6,29a18ba0,afc96aa6,e5ba7672,836a67dd,21ddcdc9,5840adea,c0cd6339,,c7dc6720,7e60320b,7a402766,ba14bbcb
7023680,1,,1,,4.0,13633.0,42.0,25.0,11.0,67.0,,2.0,0.0,4.0,05db9164,b961056b,3d191e16,25dc7829,25c83c98,,63b212f8,062b5529,a73ee510,01a07fd7,5874c9c9,7d0f82d4,740c210d,07d13a8f,f5baaaa1,aca69986,e5ba7672,c24ac50d,,,8a0017b9,,32c7478e,60a197ae,,
12834824,0,0.0,19,9.0,11.0,5199.0,101.0,2.0,11.0,56.0,0.0,1.0,,11.0,8cf07265,51d3128b,f5be4806,1d312fed,30903e74,fe6b92e5,a6d9bf82,0b153874,a73ee510,3cba23a4,c6c91669,a24be869,b8a76289,b28479f6,09dfc0f4,5312c5c2,07c540c4,48dc5aca,,,5ec62a90,,32c7478e,3de93139,,
40674370,0,,84,6.0,2.0,32670.0,85.0,5.0,12.0,73.0,,2.0,,2.0,68fd1e64,e3db0bac,78dde656,5e2e6247,43b19349,,52941dc4,0b153874,a73ee510,04fbc1ef,41851b1b,0f2089f1,b33c896e,b28479f6,b36ca009,4f8cc597,e5ba7672,a7ccaded,21ddcdc9,5840adea,ce581c1a,,3a171ecb,08b0ce98,2bf691b1,b29c74dc
23443629,0,0.0,20,21.0,4.0,2802.0,54.0,18.0,5.0,103.0,0.0,4.0,,4.0,05db9164,207b2d81,9291c675,c2fcecf6,25c83c98,fe6b92e5,ce7b581c,5b392875,a73ee510,fba4b86c,8ab98528,6682ff05,bd280428,b28479f6,c610e71f,6c1ca82d,e5ba7672,29907d97,21ddcdc9,5840adea,7cd5e5dc,ad3062eb,423fab69,38be899f,001f3601,c26ea7d4
21402845,1,,545,5.0,4.0,9930.0,82.0,24.0,19.0,93.0,,2.0,,24.0,8cf07265,2705da39,38505176,dabaa4f7,25c83c98,7e0ccccf,af39d293,0b153874,a73ee510,9ebcf8dd,e470ff63,bf8fc608,81fcad9c,64c94865,dbf47116,b151f39c,e5ba7672,66c3058a,,,1952b3e9,,32c7478e,043ce596,,
38848157,0,,1537,1.0,1.0,,,0.0,1.0,32.0,,0.0,,1.0,68fd1e64,38a947a1,7e59e022,6a14f9b9,25c83c98,7e0ccccf,88002ee1,0b153874,7cc72ec2,3b08e48b,f1b78ab4,8c21ab81,6e5da64f,07d13a8f,46df822a,f8b34416,2005abd1,c9ac134a,,,f3ddd519,,32c7478e,b34f3128,,
40542318,0,,0,1.0,5.0,4849.0,32.0,4.0,6.0,32.0,,1.0,,5.0,75ac2fe6,38d50e09,e7290a18,10ee14f5,4cf72387,fe6b92e5,0465bdc8,1f89b562,a73ee510,01e100dd,7252cfd2,394b6320,ccb9cc75,b28479f6,42b3012c,c336971a,e5ba7672,582152eb,21ddcdc9,5840adea,f226d6a0,,3a171ecb,e4f45003,001f3601,632dae8a
18876993,0,,60,1.0,1.0,7712.0,204.0,1.0,6.0,141.0,,1.0,,1.0,05db9164,57a04a1a,7d00e984,3db7054a,25c83c98,7e0ccccf,b043878c,5b392875,a73ee510,3b08e48b,21f0dfc7,641db8b0,92f2a33b,07d13a8f,d53709e0,9b207aca,d4bb7bd8,2bbd3980,,,2186d935,c9d4222a,32c7478e,53b713dc,,
23948139,0,,3027,9.0,0.0,17703.0,,0.0,9.0,24.0,,0.0,,9.0,05db9164,bf58e3e3,ff92fbfe,2091baca,4cf72387,fe6b92e5,1f2bade2,5b392875,a73ee510,4b57f4b2,c81aba6a,863480c7,16563886,cf1fc48d,f81cb17b,13798f0b,1e88c74f,427f76d8,,,d991438c,,3a171ecb,36125f5d,,
